x @  cent_trace_len @  decent_trace_len @  odecent_trace_len @  cent_num_mess @  decent_num_mess @  odecent_num_mess @  cent_size_mess @  decent_size_mess @  odecent_size_mess @  cent_nb_progressions @  decent_nb_progressions @  odecent_nb_progressions @  formula @  trace
1 @ 2 @ 3 @ 2 @ 3 @ 0 @ 0 @ 1. @ 0. @ 0. @ 3 @ 3 @ 3 @ Next (Var "a") @ { |b|c} ; {a|b|c} ; { | |c} ; {a| | } ; {a| |c} ; {a| | } ; {a| | } ; { |b|c} ; {a| |c} ; { |b| } ; {a| |c} ; { | |c} ; { |b|c} ; {a| | } ; { |b| } ; {a|b|c} ; { |b|c} ; {a|b|c} ; { |b| } ; {a| | } ; {a| | } ; { | |c} ; {a| |c} ; {a| | } ; { |b|c} ; {a|b|c} ; {a|b|c} ; {a|b|c} ; {a|b|c} ; { | | } ; {a|b| } ; {a|b|c} ; { | |c} ; { | |c} ; {a|b|c} ; {a| | } ; { |b| } ; {a|b| } ; {a| |c} ; {a|b|c} ; {a| | } ; { |b|c} ; { |b| } ; {a|b|c} ; { |b|c} ; { |b| } ; { | |c} ; { | | } ; {a| | } ; { |b| } ; {a| | } ; { |b|c} ; {a| |c} ; {a| |c} ; { |b| } ; { |b|c} ; {a| | } ; { |b| } ; { |b|c} ; {a|b| } ; { | |c} ; {a|b| } ; { |b|c} ; { |b| } ; {a| |c} ; {a|b|c} ; { | |c} ; {a|b|c} ; { | | } ; { | | } ; { | |c} ; { | | } ; { | | } ; {a| |c} ; { | | } ; { |b|c} ; { | | } ; { | |c} ; {a| | } ; { | | } ; { |b|c} ; { | | } ; {a| | } ; {a| |c} ; {a|b|c} ; {a| |c} ; { |b| } ; { | |c} ; { |b| } ; { |b|c} ; { |b|c} ; {a| |c} ; {a|b|c} ; {a|b| } ; { | | } ; { |b|c} ; { |b| } ; { | | } ; { |b|c} ; { |b|c} ; { |b|c}
1 @ 3 @ 4 @ 4 @ 6 @ 5 @ 3 @ 1. @ 3.66 @ 1.77 @ 12 @ 34 @ 17 @ Until (Var "a", Var "b") @ {a| | } ; {a| |c} ; { |b| } ; { |b|c} ; { | | } ; {a|b|c} ; { | | } ; {a|b| } ; { | | } ; {a|b|c} ; {a|b| } ; { | |c} ; { |b|c} ; { |b|c} ; {a|b|c} ; {a|b| } ; {a|b| } ; { |b|c} ; { |b| } ; { | | } ; { |b|c} ; {a|b|c} ; {a| |c} ; { | |c} ; {a| | } ; {a|b|c} ; {a|b| } ; { | | } ; { | |c} ; {a|b|c} ; { |b|c} ; {a|b| } ; { | |c} ; {a|b|c} ; {a| | } ; {a|b| } ; { |b|c} ; {a|b| } ; { | |c} ; {a| | } ; { | | } ; {a|b|c} ; { |b|c} ; { | | } ; {a| |c} ; {a|b| } ; {a|b|c} ; { |b|c} ; { | |c} ; {a| | } ; {a|b|c} ; { | |c} ; {a|b|c} ; {a|b| } ; { |b|c} ; { | | } ; {a| | } ; { | | } ; { |b|c} ; { | |c} ; { |b|c} ; {a|b| } ; {a|b| } ; { | | } ; {a| |c} ; { |b| } ; {a|b| } ; {a|b|c} ; {a| | } ; { | | } ; {a|b| } ; { | | } ; { |b|c} ; { | | } ; { |b|c} ; { |b| } ; {a|b|c} ; { |b| } ; {a|b|c} ; { |b|c} ; { |b| } ; { |b|c} ; {a|b| } ; { |b|c} ; {a|b| } ; {a| | } ; {a|b| } ; {a| |c} ; {a|b| } ; { |b|c} ; {a| |c} ; { | | } ; { | | } ; {a| | } ; { | | } ; { | | } ; { | | } ; { | | } ; {a|b| } ; {a|b| } ; {a| | }
1 @ 2 @ 3 @ 2 @ 3 @ 0 @ 0 @ 1. @ 0. @ 0. @ 3 @ 3 @ 3 @ Next (Var "a") @ { | | } ; {a| | } ; {a|b|c} ; {a| |c} ; { | | } ; { |b|c} ; { | |c} ; {a|b| } ; {a|b| } ; {a| |c} ; { | | } ; { |b|c} ; {a| | } ; { |b|c} ; { | |c} ; {a|b| } ; { |b| } ; { | | } ; {a|b|c} ; { | | } ; { |b|c} ; { | |c} ; {a| | } ; {a| |c} ; { |b| } ; {a|b|c} ; { | | } ; { | |c} ; {a| | } ; { | | } ; { |b| } ; {a| | } ; {a|b|c} ; { | |c} ; {a|b|c} ; { | |c} ; { | | } ; {a| |c} ; { | | } ; { | |c} ; {a|b| } ; { | |c} ; {a|b|c} ; {a|b|c} ; {a| | } ; {a| |c} ; {a| | } ; {a|b|c} ; {a| | } ; { |b| } ; {a| |c} ; { | |c} ; { | | } ; {a|b| } ; { | | } ; {a| |c} ; { | | } ; { | |c} ; { | |c} ; { |b|c} ; {a|b| } ; {a|b| } ; { |b| } ; { | | } ; { |b|c} ; { |b|c} ; {a|b|c} ; {a| |c} ; {a| | } ; {a|b|c} ; { | |c} ; { | |c} ; {a| |c} ; {a|b|c} ; { | |c} ; {a|b|c} ; {a|b|c} ; { | |c} ; {a| | } ; {a|b| } ; {a| |c} ; {a|b|c} ; { | | } ; { | |c} ; {a|b| } ; { |b| } ; { | | } ; { | |c} ; { | | } ; { |b| } ; {a|b|c} ; { | |c} ; { | | } ; {a|b|c} ; {a| |c} ; {a| | } ; {a| |c} ; { | | } ; {a|b|c} ; { | | } ; {a|b|c}
1 @ 5 @ 6 @ 5 @ 12 @ 2 @ 0 @ 1. @ 0.66 @ 0. @ 10 @ 16 @ 10 @ Ev (Var "a") @ { |b|c} ; { | |c} ; { | |c} ; { | |c} ; {a| | } ; {a| | } ; {a|b|c} ; {a|b|c} ; { |b| } ; { | | } ; {a| | } ; {a| |c} ; { | | } ; {a|b| } ; { | |c} ; { | |c} ; {a| |c} ; {a| | } ; {a|b| } ; { | |c} ; { | | } ; { |b|c} ; { | |c} ; {a| | } ; {a| | } ; {a| |c} ; { | |c} ; {a|b| } ; {a| |c} ; { |b|c} ; { |b| } ; { | |c} ; {a|b|c} ; {a|b|c} ; {a| | } ; { | |c} ; { | | } ; {a|b|c} ; {a|b|c} ; { | | } ; { |b|c} ; { | | } ; { |b|c} ; {a|b| } ; { |b| } ; {a|b|c} ; {a| |c} ; {a|b| } ; {a|b| } ; { | |c} ; { |b|c} ; { | | } ; {a|b| } ; { | |c} ; { |b| } ; {a|b| } ; { | | } ; { | | } ; {a|b| } ; { | |c} ; { |b|c} ; {a| |c} ; { | | } ; {a|b|c} ; {a| |c} ; { |b| } ; {a|b|c} ; { |b| } ; { | |c} ; { | | } ; {a| |c} ; { |b|c} ; { | | } ; { | |c} ; { | | } ; {a|b| } ; {a| | } ; { |b| } ; {a| | } ; {a| |c} ; {a| |c} ; { |b| } ; {a|b|c} ; {a| |c} ; { |b|c} ; { | | } ; { | | } ; {a| |c} ; {a|b| } ; { |b| } ; { |b|c} ; { |b| } ; { |b| } ; {a|b|c} ; {a| | } ; {a| |c} ; {a| |c} ; { |b| } ; {a|b|c} ; { | |c} ; {a| |c}
1 @ 2 @ 3 @ 2 @ 3 @ 0 @ 0 @ 1. @ 0. @ 0. @ 3 @ 3 @ 3 @ Next (Var "b") @ {a|b| } ; {a|b| } ; { |b| } ; { |b|c} ; {a|b| } ; { |b|c} ; { | | } ; { |b| } ; { | |c} ; { |b|c} ; { | |c} ; { |b|c} ; { | |c} ; {a| |c} ; {a| |c} ; {a|b| } ; {a| | } ; {a| |c} ; { | | } ; { | | } ; { | |c} ; {a| | } ; { |b|c} ; {a| | } ; {a| | } ; { |b| } ; { |b|c} ; { | | } ; {a|b| } ; { |b|c} ; { |b|c} ; { |b| } ; {a|b|c} ; {a|b|c} ; {a|b|c} ; { | | } ; { | |c} ; { |b|c} ; {a| |c} ; {a|b| } ; { |b|c} ; {a|b| } ; { | | } ; { | | } ; { | |c} ; {a|b| } ; { |b|c} ; { |b|c} ; {a| | } ; { | |c} ; { |b|c} ; { |b| } ; { | | } ; { | | } ; {a|b| } ; { | |c} ; {a|b| } ; { |b| } ; {a|b| } ; { | |c} ; { | | } ; { |b|c} ; {a|b|c} ; {a|b|c} ; { | |c} ; { | | } ; {a|b| } ; {a|b| } ; { |b| } ; { | |c} ; { | | } ; {a|b|c} ; {a| | } ; {a| | } ; {a|b| } ; {a| | } ; { | |c} ; {a| | } ; {a| | } ; {a| |c} ; { |b|c} ; {a|b| } ; { | | } ; {a| |c} ; {a| |c} ; { |b|c} ; {a| | } ; {a| | } ; { | |c} ; {a|b| } ; {a|b|c} ; {a| | } ; {a| |c} ; {a|b|c} ; {a|b|c} ; { | | } ; { | | } ; { | |c} ; { |b| } ; {a| | } ; {a|b|c}
1 @ 2 @ 3 @ 2 @ 3 @ 0 @ 0 @ 1. @ 0. @ 0. @ 3 @ 3 @ 3 @ Next (Var "a") @ { |b| } ; {a|b|c} ; { | | } ; {a|b|c} ; { | |c} ; {a|b| } ; {a|b|c} ; { | | } ; {a|b| } ; { | | } ; { | |c} ; {a|b|c} ; {a| |c} ; { | |c} ; { | |c} ; {a|b|c} ; { | | } ; {a|b| } ; { |b|c} ; {a|b|c} ; {a|b| } ; {a|b|c} ; { | | } ; { |b| } ; { |b| } ; {a|b|c} ; {a| | } ; {a|b| } ; {a|b|c} ; { | | } ; {a| | } ; {a|b| } ; { |b| } ; { | |c} ; { |b| } ; {a|b|c} ; { |b| } ; { |b| } ; { | | } ; { | | } ; {a|b| } ; { | |c} ; {a| |c} ; {a|b|c} ; { | | } ; { |b|c} ; { | |c} ; {a| | } ; {a|b| } ; {a| | } ; { | | } ; { | |c} ; { |b| } ; {a| | } ; { |b|c} ; { |b| } ; { | | } ; {a| |c} ; {a|b| } ; {a|b|c} ; { |b|c} ; {a| | } ; {a|b|c} ; {a| |c} ; {a|b|c} ; { | |c} ; { | | } ; { |b|c} ; {a| | } ; { |b|c} ; {a|b|c} ; {a| | } ; { | |c} ; {a|b| } ; {a| | } ; {a| |c} ; {a|b| } ; {a| |c} ; {a| | } ; { | |c} ; { |b|c} ; {a|b|c} ; {a| | } ; { | |c} ; {a|b|c} ; {a|b|c} ; {a| | } ; { |b| } ; {a|b| } ; {a| |c} ; { | | } ; {a| |c} ; {a|b| } ; { |b| } ; {a|b|c} ; {a| |c} ; { | | } ; {a| |c} ; { |b|c} ; {a|b| } ; {a|b|c}
1 @ 2 @ 3 @ 2 @ 3 @ 2 @ 0 @ 1. @ 1.66 @ 0. @ 4 @ 8 @ 4 @ Glob (Var "a") @ {a| |c} ; { | |c} ; {a|b|c} ; { |b| } ; {a|b|c} ; {a|b| } ; {a| |c} ; {a| | } ; {a|b| } ; {a| |c} ; { |b|c} ; {a| | } ; { | |c} ; { | |c} ; {a| | } ; {a| | } ; {a| |c} ; {a| | } ; { |b| } ; { | |c} ; {a| |c} ; {a| | } ; { | | } ; {a| | } ; { | | } ; { | |c} ; { | | } ; { | | } ; { | |c} ; {a|b| } ; {a|b| } ; {a| | } ; { |b| } ; {a|b| } ; { |b| } ; { | | } ; {a|b| } ; {a|b|c} ; {a| |c} ; {a| | } ; {a| |c} ; { | | } ; { | |c} ; { | |c} ; {a|b|c} ; { | | } ; { |b| } ; {a|b|c} ; { | | } ; {a| |c} ; {a| | } ; { | |c} ; {a| | } ; { |b| } ; { |b| } ; {a| |c} ; {a|b| } ; { | |c} ; { | | } ; {a|b| } ; { |b|c} ; {a|b| } ; {a| |c} ; {a|b|c} ; { |b|c} ; {a|b|c} ; {a| | } ; {a| | } ; { | | } ; { | | } ; {a|b|c} ; {a|b| } ; { |b| } ; { | | } ; {a|b| } ; { |b| } ; {a|b| } ; {a|b|c} ; { | |c} ; {a| |c} ; { | |c} ; {a| |c} ; {a| |c} ; {a|b| } ; { |b|c} ; {a|b|c} ; {a| |c} ; {a|b|c} ; {a| | } ; { | | } ; {a| |c} ; { |b|c} ; { | | } ; { | |c} ; { | |c} ; {a|b| } ; { | | } ; {a| |c} ; { | | } ; {a| | } ; {a|b|c}
1 @ 7 @ 8 @ 7 @ 18 @ 2 @ 0 @ 1. @ 0.47 @ 0. @ 14 @ 28 @ 14 @ Glob (Var "a") @ {a| |c} ; {a| |c} ; {a|b| } ; {a| |c} ; {a|b|c} ; {a| | } ; { | |c} ; { | | } ; {a|b|c} ; { |b| } ; {a|b| } ; {a| | } ; {a| | } ; { | | } ; { | |c} ; {a| |c} ; {a| | } ; {a|b|c} ; {a| |c} ; { | | } ; { |b|c} ; { |b|c} ; { | |c} ; { | |c} ; { |b|c} ; {a| | } ; { | |c} ; {a|b|c} ; { |b|c} ; {a|b| } ; { | |c} ; {a| | } ; {a| |c} ; {a| |c} ; { | | } ; {a| | } ; { | |c} ; { | |c} ; { | |c} ; { |b|c} ; { |b| } ; { | | } ; { | | } ; {a| | } ; { |b| } ; { | |c} ; {a|b|c} ; { |b| } ; { | | } ; { |b| } ; { |b|c} ; { | |c} ; {a|b| } ; { |b|c} ; { | |c} ; {a|b| } ; { |b|c} ; {a| | } ; { | | } ; { |b| } ; {a|b| } ; {a| | } ; {a| | } ; { | |c} ; { |b|c} ; { |b|c} ; { | |c} ; {a|b|c} ; { | |c} ; {a| |c} ; {a| | } ; { | |c} ; { | |c} ; { | | } ; {a|b|c} ; {a| | } ; { |b| } ; {a| |c} ; { |b|c} ; { |b| } ; {a| | } ; {a|b| } ; {a|b|c} ; { |b| } ; { |b| } ; {a| |c} ; {a| | } ; { | |c} ; { | | } ; {a|b|c} ; { |b| } ; {a| | } ; {a|b|c} ; {a|b|c} ; { |b| } ; {a| | } ; {a| |c} ; { |b|c} ; { |b|c} ; { | | } ; { | |c}
1 @ 2 @ 3 @ 2 @ 3 @ 0 @ 0 @ 1. @ 0. @ 0. @ 3 @ 3 @ 3 @ Next (Var "b") @ { | |c} ; {a|b| } ; { |b| } ; {a|b| } ; { |b| } ; {a|b| } ; { | |c} ; {a| |c} ; { |b|c} ; {a|b| } ; { | |c} ; {a| |c} ; {a|b| } ; { | | } ; { | | } ; { |b|c} ; {a|b| } ; {a|b|c} ; {a| |c} ; {a| |c} ; {a| |c} ; { | | } ; { |b|c} ; { |b|c} ; {a| | } ; {a| |c} ; { |b| } ; {a| |c} ; {a| |c} ; {a| |c} ; { | | } ; { |b| } ; { |b| } ; {a| | } ; {a|b|c} ; { |b|c} ; {a| |c} ; {a|b| } ; {a|b|c} ; { | | } ; { | | } ; {a| |c} ; { | |c} ; {a|b|c} ; { |b| } ; {a|b| } ; {a|b| } ; { | | } ; { | |c} ; {a| | } ; {a|b| } ; { | |c} ; {a| |c} ; { |b| } ; {a| |c} ; { | |c} ; {a|b| } ; {a| | } ; {a|b| } ; { |b| } ; {a|b| } ; {a| |c} ; { | | } ; {a| | } ; {a|b| } ; { |b|c} ; { | |c} ; {a| |c} ; { | |c} ; {a|b| } ; {a| | } ; {a|b|c} ; {a| |c} ; {a|b| } ; {a|b| } ; { | | } ; { |b|c} ; {a|b|c} ; { | | } ; {a|b| } ; { |b|c} ; {a|b| } ; {a| |c} ; { |b|c} ; { | | } ; {a| | } ; { | | } ; {a|b| } ; { |b|c} ; {a| | } ; { | | } ; { |b| } ; { |b| } ; { | | } ; {a| |c} ; {a|b| } ; { | | } ; { |b|c} ; {a|b| } ; {a|b|c} ; { |b| }
1 @ 2 @ 3 @ 2 @ 3 @ 0 @ 0 @ 1. @ 0. @ 0. @ 3 @ 3 @ 3 @ Next (Var "b") @ {a|b|c} ; {a|b| } ; {a| |c} ; { | | } ; { | |c} ; { |b| } ; { | |c} ; {a|b|c} ; { |b|c} ; {a|b|c} ; { | |c} ; {a|b|c} ; { |b| } ; {a|b| } ; { |b| } ; { | | } ; {a| |c} ; { | | } ; {a| |c} ; {a| | } ; {a| |c} ; { |b|c} ; {a|b|c} ; {a| | } ; {a| | } ; { |b| } ; {a|b| } ; { |b| } ; {a| |c} ; { |b|c} ; { |b|c} ; {a| | } ; {a|b|c} ; {a|b|c} ; {a|b|c} ; {a|b| } ; { |b|c} ; { |b| } ; {a| |c} ; { | |c} ; { |b|c} ; { |b| } ; {a|b| } ; {a|b| } ; {a|b| } ; {a|b| } ; { | |c} ; { |b|c} ; { | |c} ; {a|b| } ; {a| |c} ; { |b| } ; { |b| } ; { | |c} ; {a| | } ; { | |c} ; { |b|c} ; {a| | } ; { |b| } ; { |b| } ; { | |c} ; { | |c} ; {a| | } ; {a| | } ; { | |c} ; { |b| } ; { | |c} ; {a| | } ; { | |c} ; {a|b|c} ; {a| | } ; {a|b| } ; { | |c} ; {a| |c} ; {a|b|c} ; {a|b| } ; {a| |c} ; { | |c} ; {a|b| } ; {a| |c} ; {a|b|c} ; {a|b|c} ; { |b| } ; {a| | } ; { |b|c} ; {a|b| } ; {a| | } ; {a|b|c} ; { | |c} ; { |b|c} ; { |b| } ; {a|b| } ; {a|b| } ; { |b|c} ; {a|b| } ; { | |c} ; { |b| } ; { | |c} ; { |b|c} ; {a| | } ; {a| | }
1 @ 2 @ 3 @ 2 @ 3 @ 2 @ 0 @ 1. @ 1.66 @ 0. @ 4 @ 8 @ 4 @ Glob (Var "b") @ { |b| } ; { | |c} ; { |b| } ; {a| |c} ; { | |c} ; {a|b| } ; { |b| } ; { | | } ; {a|b| } ; {a|b|c} ; { | |c} ; {a| |c} ; {a| | } ; {a| | } ; { | |c} ; { |b| } ; {a| |c} ; { |b| } ; { |b|c} ; { |b|c} ; { |b| } ; { | | } ; { | | } ; { | | } ; {a|b| } ; { | |c} ; { |b| } ; { | | } ; {a| |c} ; { | | } ; {a|b| } ; { | |c} ; { | |c} ; { | |c} ; { | |c} ; { | | } ; { |b|c} ; {a| |c} ; { |b|c} ; { | |c} ; {a|b|c} ; { | | } ; { | |c} ; { |b| } ; {a| | } ; {a|b|c} ; { |b|c} ; { | |c} ; { | | } ; { | | } ; {a|b|c} ; {a|b| } ; {a| |c} ; { |b|c} ; { |b| } ; { |b|c} ; {a|b|c} ; {a|b| } ; { | | } ; {a| | } ; {a|b| } ; {a| |c} ; {a|b| } ; {a|b|c} ; { |b| } ; {a| |c} ; {a|b| } ; {a|b|c} ; { | | } ; {a| |c} ; {a| |c} ; {a| | } ; {a|b|c} ; { | | } ; {a| | } ; { |b|c} ; { |b| } ; {a| |c} ; { | | } ; { | | } ; { |b| } ; { | | } ; { |b|c} ; { |b| } ; {a| | } ; {a|b| } ; { | |c} ; {a| | } ; { | |c} ; {a| |c} ; { | |c} ; {a|b| } ; { |b| } ; {a| |c} ; { | | } ; {a| |c} ; { | | } ; {a| | } ; {a| |c} ; {a| |c} ; { |b| }
1 @ 2 @ 4 @ 2 @ 3 @ 5 @ 1 @ 1. @ 3.33 @ 1.66 @ 8 @ 32 @ 10 @ Until (Var "c", Var "a") @ { |b|c} ; {a|b|c} ; { | | } ; {a|b| } ; {a| |c} ; { | | } ; {a|b|c} ; {a|b| } ; {a|b|c} ; {a|b| } ; {a| |c} ; { |b| } ; {a| | } ; { | | } ; {a| |c} ; {a| | } ; { | | } ; { | |c} ; { | | } ; {a| | } ; {a|b| } ; { | | } ; { | | } ; { |b|c} ; {a| |c} ; {a|b| } ; { |b| } ; {a|b| } ; {a|b|c} ; { |b| } ; {a|b| } ; {a| | } ; { |b|c} ; {a|b| } ; { |b| } ; {a|b| } ; { | | } ; { | | } ; {a| | } ; { | |c} ; {a|b| } ; { |b|c} ; { |b|c} ; {a| |c} ; {a|b| } ; { | | } ; { |b| } ; {a|b|c} ; { | | } ; {a|b|c} ; {a|b|c} ; {a| |c} ; {a|b| } ; {a|b| } ; {a|b|c} ; {a| | } ; {a| |c} ; { | |c} ; { | | } ; { | | } ; {a| |c} ; {a|b| } ; {a| | } ; { |b|c} ; {a|b| } ; {a|b|c} ; {a|b|c} ; { |b|c} ; {a| |c} ; {a|b| } ; {a|b|c} ; {a|b| } ; { |b| } ; { | |c} ; {a| |c} ; {a| |c} ; { |b| } ; {a|b| } ; { |b|c} ; { | | } ; { | | } ; { | | } ; { | | } ; {a| | } ; { |b|c} ; {a|b|c} ; {a| |c} ; {a| |c} ; { | | } ; { | | } ; {a| |c} ; { | | } ; {a| |c} ; { | | } ; {a| | } ; {a| | } ; {a| | } ; { | | } ; {a| |c} ; { | | } ; { | | }
1 @ 2 @ 3 @ 2 @ 3 @ 0 @ 0 @ 1. @ 0. @ 0. @ 3 @ 3 @ 3 @ Next (Var "c") @ { |b| } ; { |b|c} ; { |b|c} ; { | |c} ; { |b| } ; { |b| } ; {a|b|c} ; { | | } ; {a|b|c} ; { | | } ; { | |c} ; {a| |c} ; {a| | } ; {a| | } ; {a| | } ; {a|b| } ; { |b|c} ; { | |c} ; { |b|c} ; {a|b|c} ; {a| |c} ; { | | } ; {a|b|c} ; { |b|c} ; { | |c} ; {a| |c} ; {a| | } ; {a|b| } ; { | | } ; {a|b|c} ; { |b| } ; {a|b| } ; {a|b| } ; { |b| } ; {a|b| } ; {a|b| } ; {a|b|c} ; {a|b| } ; { |b| } ; { | |c} ; {a|b| } ; { | |c} ; {a| | } ; {a|b| } ; {a|b| } ; {a|b| } ; {a|b| } ; {a| |c} ; { |b|c} ; { | |c} ; {a| |c} ; { |b|c} ; {a|b| } ; { |b|c} ; {a|b| } ; { | |c} ; {a|b| } ; { |b| } ; { |b| } ; {a|b|c} ; {a| | } ; { |b|c} ; {a|b| } ; { | | } ; {a|b|c} ; {a|b|c} ; { | | } ; {a|b|c} ; { |b| } ; { |b|c} ; {a|b|c} ; { | | } ; {a|b| } ; {a| |c} ; {a| |c} ; { | |c} ; { |b|c} ; {a|b|c} ; {a|b| } ; { | | } ; {a|b|c} ; {a| | } ; {a|b| } ; { |b|c} ; { |b|c} ; {a| | } ; {a|b|c} ; {a|b| } ; { |b| } ; { | |c} ; {a| |c} ; { | |c} ; {a| |c} ; {a|b| } ; { | | } ; {a| |c} ; { |b|c} ; {a| |c} ; {a|b| } ; {a|b|c} ; {a|b|c}
1 @ 2 @ 3 @ 2 @ 3 @ 0 @ 0 @ 1. @ 0. @ 0. @ 3 @ 3 @ 3 @ Next (Var "c") @ { |b|c} ; { |b| } ; {a|b| } ; { | |c} ; { | | } ; { | |c} ; {a| | } ; {a|b|c} ; { | | } ; { |b|c} ; { | |c} ; { | |c} ; {a|b|c} ; {a| |c} ; {a| |c} ; { |b| } ; {a|b|c} ; { | |c} ; {a| | } ; {a|b| } ; {a|b| } ; {a|b| } ; { | | } ; {a|b| } ; {a| | } ; { |b|c} ; { | | } ; { | |c} ; {a|b| } ; {a|b| } ; { |b| } ; { |b| } ; {a| |c} ; { | | } ; { | | } ; { |b| } ; { |b|c} ; {a| |c} ; { | | } ; { |b| } ; {a| |c} ; { | |c} ; {a|b|c} ; { | | } ; { | | } ; { | |c} ; {a|b| } ; {a| | } ; { | |c} ; { |b|c} ; { |b|c} ; {a|b| } ; { |b|c} ; { | |c} ; {a| |c} ; { |b| } ; {a|b|c} ; {a| |c} ; { |b|c} ; {a| | } ; {a|b|c} ; {a|b|c} ; { |b| } ; { | | } ; {a| | } ; { |b|c} ; {a|b| } ; { |b| } ; {a|b| } ; {a| |c} ; { | | } ; { |b| } ; { |b|c} ; { |b| } ; {a|b| } ; {a| |c} ; { |b|c} ; {a|b|c} ; { | | } ; { | |c} ; { | |c} ; { |b| } ; { | |c} ; { |b| } ; { | |c} ; {a| |c} ; { | |c} ; { | | } ; { | |c} ; { | |c} ; { | |c} ; {a|b| } ; {a|b|c} ; { |b| } ; { |b| } ; {a|b|c} ; { | | } ; { |b|c} ; {a|b|c} ; {a| | } ; { | |c}
1 @ 5 @ 6 @ 5 @ 12 @ 2 @ 0 @ 1. @ 0.66 @ 0. @ 10 @ 16 @ 10 @ Ev (Var "b") @ { | |c} ; {a| |c} ; {a| |c} ; {a| |c} ; { |b|c} ; {a| |c} ; {a| |c} ; { |b| } ; {a| | } ; { | | } ; {a| | } ; { | |c} ; {a|b|c} ; { | |c} ; {a|b|c} ; { | | } ; {a| | } ; { | |c} ; { |b| } ; {a| | } ; { | |c} ; {a|b|c} ; {a| | } ; {a|b|c} ; {a|b| } ; {a|b| } ; {a|b|c} ; {a|b|c} ; { |b| } ; {a|b| } ; { | |c} ; {a|b| } ; { | |c} ; {a|b| } ; {a|b|c} ; {a| | } ; {a|b|c} ; { |b|c} ; {a| | } ; { |b| } ; {a| | } ; { |b| } ; {a| |c} ; {a| |c} ; { |b|c} ; {a|b| } ; {a|b|c} ; { |b|c} ; {a| |c} ; { | | } ; { | |c} ; { |b|c} ; {a| | } ; {a|b| } ; {a|b|c} ; { | |c} ; { | | } ; {a| | } ; { | | } ; {a|b|c} ; {a|b|c} ; { |b|c} ; {a|b|c} ; { | |c} ; {a| | } ; { |b| } ; { | | } ; { | |c} ; { | | } ; { | |c} ; {a|b| } ; {a| |c} ; { |b|c} ; { | | } ; { |b|c} ; {a|b|c} ; {a| | } ; { | | } ; {a|b|c} ; {a| | } ; { |b| } ; { |b|c} ; {a|b|c} ; {a|b|c} ; {a|b| } ; { | | } ; { |b|c} ; { | | } ; { |b| } ; { |b| } ; { | | } ; { |b|c} ; {a|b|c} ; {a|b|c} ; { | | } ; {a| |c} ; { | | } ; { |b|c} ; {a| |c} ; {a|b|c} ; { | |c}
1 @ 3 @ 4 @ 3 @ 6 @ 2 @ 0 @ 1. @ 1.11 @ 0. @ 6 @ 8 @ 6 @ Ev (Var "c") @ {a| | } ; {a| | } ; { |b|c} ; {a|b| } ; {a| | } ; {a| |c} ; {a|b| } ; { | |c} ; {a|b|c} ; { |b| } ; { | |c} ; {a| |c} ; { |b| } ; { | |c} ; { | | } ; {a|b|c} ; {a|b| } ; {a|b|c} ; { | | } ; { | |c} ; {a|b| } ; { |b|c} ; { |b| } ; {a| |c} ; { |b| } ; {a| | } ; {a|b|c} ; { | | } ; {a|b|c} ; { |b|c} ; { | |c} ; {a|b|c} ; { |b|c} ; { |b| } ; { |b|c} ; { |b|c} ; {a|b| } ; {a| | } ; {a|b| } ; { |b|c} ; {a|b| } ; { | | } ; {a|b|c} ; {a| |c} ; { | |c} ; { | | } ; {a|b|c} ; {a| | } ; { |b|c} ; {a|b|c} ; { |b| } ; {a| |c} ; {a|b|c} ; { | | } ; {a|b| } ; { | | } ; {a| |c} ; {a| | } ; {a|b|c} ; {a| | } ; {a| |c} ; { | | } ; { |b|c} ; { | | } ; {a|b| } ; { |b|c} ; {a| | } ; { |b| } ; {a| |c} ; {a|b| } ; { | | } ; { |b|c} ; {a|b|c} ; {a| | } ; {a| |c} ; { |b|c} ; {a| | } ; { | | } ; { | |c} ; { | |c} ; {a|b| } ; { | | } ; {a| | } ; { |b|c} ; { | |c} ; {a| | } ; {a| | } ; { | | } ; { |b| } ; {a| |c} ; { |b| } ; { | | } ; {a|b| } ; {a| | } ; { | | } ; {a|b|c} ; { |b|c} ; { | | } ; {a|b| } ; { |b|c} ; {a|b|c}
